"0.500000","0.500000"
"0.254878","0.069840"
"0.009755","0.639681"
"0.764633","0.209521"
"0.519511","0.779361"
"0.274388","0.349201"
"0.029266","0.919042"
"0.784143","0.488882"
"0.539021","0.058722"
"0.293899","0.628562"
"0.048777","0.198402"
"0.803654","0.768243"
"0.558532","0.338083"
"0.313409","0.907923"
"0.068287","0.477764"
"0.823164","0.047604"
"0.578042","0.617444"
"0.332920","0.187284"
"0.087797","0.757125"
"0.842675","0.326964"
"0.597552","0.896805"
"0.352430","0.466645"
"0.107307","0.036486"
"0.862185","0.606326"
"0.617064","0.176167"
"0.371941","0.746006"
"0.126818","0.315846"
"0.881697","0.885687"
"0.636574","0.455528"
"0.391451","0.025368"
"0.146328","0.595207"
"0.901207","0.165049"
